,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
1,Corydalis,6217.35167706114,750.502318683665,27.0908531385321,6207.89376919392
2,Sedum,38335.9292068331,7462.25239397517,2620.19499977345,38295.5627169842
3,Sempervivum,15536.142729291,7169.85788098473,1600.51645981493,15532.9762410831
4,Rhodiola,981.288459004072,7169.85788098473,109.784216569461,981.033629324602
5,Saxifraga,46662.7312929746,7169.85788098473,4299.66228439887,46642.0124570485
6,Aristolochia,169.843616196179,7169.85788098473,0.654712682095681,168.994320660898
7,Prunus,40651.6609147506,5719.03643609669,9.3620184430408,40580.7069925417
8,Malus,3792.98121099751,0,0,3788.50377602734
9,Sorbus,25666.3839112474,19276.1262095696,6372.39860124506,25654.9180229168
10,Pyrus,1776.51979802116,3541.35834426689,120.214531894326,1774.59833469128
11,Foeniculum,182.864724879077,16778.9423911338,20.5542848002933,182.124534876758
12,Pastinaca,3905.90195736363,3541.35834426689,347.252841850138,3898.56757799575
13,Peucedanum,13954.9619279916,35359.3837783062,4226.9302956343,13949.935210956
14,Pimpinella,16879.3073816995,35359.3837783062,5080.43461833415,16872.8593054781
15,Trinia,1.38881814910963,35359.3837783062,0.273912540328958,1.38603642378585
16,Alcea,348.639906312549,35359.3837783062,83.4339068106296,347.579482077474
17,Malva,13189.6352306938,35359.3837783062,3481.68291072177,13164.8784711015
18,Sanguisorba,33927.5996201361,35359.3837783062,9084.79890376608,33896.4773511145
19,Stachys,32222.1313637545,35359.3837783062,8859.92663583875,32190.7269438126
20,Lotus,49493.0112276549,35359.3837783062,14433.372232666,49456.3072517085
21,Iberis,218.467826260152,35359.3837783062,55.3208674465066,218.045982181745
22,Coronilla,544.339391498758,35359.3837783062,165.945705860433,544.278503919718
23,Hippocrepis,18505.7329459464,35359.3837783062,5624.19627095528,18498.7573321913
24,Potentilla,78660.8919992086,35359.3837783062,22430.7180138826,78594.0602881403
25,Rubus,47803.252873533,1540.48537511226,920.466139923648,47744.7112095394
26,Fragaria,21219.8423441332,1540.48537511226,298.896025150417,21205.8745302933
27,Sibbaldia,5960.80119295312,3902.95035979085,4.21814029121664,5959.55613666691
28,Helianthemum,15406.1204798263,0,0,15402.877190264
29,Molinia,7319.35194057026,684.442948008034,82.7563146409568,7312.67154957618
30,Calamagrostis,9675.14099781091,0,0,9670.18283506489
31,Cynosurus,11396.8476550119,4014.07442068374,438.811103912115,11392.4396959641
32,Bromus,43233.7419288779,46351.0806564407,17564.7990979478,43185.7235858187
33,Carex,105878.429833341,5794.75226651235,4952.03501709651,105789.984158459
34,Brachypodium,24351.6451784086,6435.32484184539,1585.36708911535,24330.1753038754
35,Stipa,284.785595071154,17736.4645441156,49.1093720918246,284.743550807143
36,Elymus,10819.8760004031,4014.07442068374,255.954430214177,10805.5331806933
37,Festuca,62239.0078172905,6707.88387877858,3010.77093533667,62192.9150567158
38,Alopecurus,10387.0252230739,0,0,10375.4489029699
39,Anthoxanthum,32032.6480360586,187.964593176188,54.1290300008546,32012.9285300805
40,Dactylis,29962.5079877496,0,0,29931.8037735079
41,Melica,10790.1092325784,256.094030434285,3.42374715460287,10783.6164089048
42,Phleum,22458.6561970727,3477.90186646594,863.484069462154,22448.92198915
43,Triticum,449.359020015303,1646.49865212358,0.119080796497699,448.277115382441
44,Lolium,18687.6680332001,11240.8039011549,503.708164811217,18664.9839686255
45,Holcus,16463.6002044062,14260.6341324946,2148.46645336098,16445.5897770513
46,Phalaris,5453.64305066216,16218.5838200841,192.028176505112,5443.74271950685
47,Luzula,47860.1377786911,7576.38401708718,3665.52721005604,47838.2791687014
48,Poa,66998.8575514717,79033.3307596652,42890.2665995139,66933.2815191053
49,Nardus,13691.6333945921,27344.1914106277,6565.94574925892,13688.7722791727
50,Frangula,3223.12497130026,48835.6498361044,1381.59484073247,3217.45383498779
51,Rhamnus,5298.55830600116,436.622715154039,54.5270376357216,5293.88772499514
52,Colutea,377.346215988561,12362.4249412558,34.6701581722428,376.312389376673
53,Vaccinium,26721.6447746337,78139.0849840129,22302.0372019306,26716.5334932638
54,Biscutella,6275.36547087517,5714.34929788875,105.314217989842,6274.28755562862
55,Cardamine,48309.0650932912,63228.1262748467,21448.5614794538,48249.5672577717
56,Hornungia,72.6789117078683,32771.5948846322,19.5905227295276,72.6236591691872
57,Alliaria,14833.3460297254,13474.5946177662,938.996335578003,14808.7006009516
58,Arabis,25333.1385108653,5714.34929788875,1329.710067969,25323.2810710133
59,Hesperis,1685.27116151904,13264.0398211569,133.772622917129,1683.0288681796
60,Primula,58514.2988576389,16395.3183631303,8385.39348146208,58474.4182956943
61,Rumex,57199.5485750983,12349.0384914324,6591.75205391568,57149.465894909
62,Quercus,14792.1733929263,21094.3599991034,1809.98555307027,14764.0320185972
63,Cytisus,3365.05602462373,12349.0384914324,648.882204906711,3359.28485808958
64,Genista,7263.07722019258,33594.1712991299,2216.30822473377,7260.28074566325
65,Ulmus,8637.9755976902,61340.6352121267,2729.91655977521,8624.33431530563
66,Lythrum,6192.07618757967,57457.3981125212,1583.32918780146,6174.6924171224
67,Cornus,22365.8036948417,36583.0723727981,11009.1759788018,22320.808832741
68,Gentiana,48638.6102092852,33713.566824538,5141.78885978414,48627.2502823987
69,Thymus,25356.6268300079,4780.2390437121,877.78689434701,25346.3468785538
70,Medicago,29618.8055539008,3043.61782027798,45.4689470625531,29581.8328285614
71,Onobrychis,7799.53567782107,4866.22311744711,120.319681723408,7790.66546361285
72,Melilotus,6628.31066498978,37406.9618075808,1866.48487623935,6617.96093999821
73,Vicia,46773.6024280097,0,0,46720.519122604
74,Trifolium,88351.2428929705,13945.1664997641,10030.3070100421,88280.7897118431
75,Astragalus,12783.7814337048,11555.1701310393,2095.65512135105,12779.579160417
76,Oxytropis,5874.49327657115,13403.6530059713,71.5377575598491,5873.01326781615
