,Species,Range,Range_hosts,Overlap_hosts,Overlap_any_plant
1,Corydalis,13296.9410052129,1257.38264167509,74.8821008594104,13280.3956324979
2,Sedum,57635.7178813724,9654.26409965493,4123.594989155,57574.6054314871
3,Sempervivum,8078.73743883414,8530.34862265586,1552.14379275997,8076.15478457477
4,Rhodiola,138.111488168896,8530.34862265586,26.6267750991986,137.961625032396
5,Saxifraga,42362.9665088774,8530.34862265586,4976.41402753557,42336.3678361092
6,Aristolochia,704.131080500958,8530.34862265586,1.19386534073427,702.968621852785
7,Prunus,68814.59767329,1736.99215891697,16.0419314116897,68720.7956996134
8,Malus,4114.12273575885,0,0,4110.99326892829
9,Sorbus,22996.008524077,27188.8336212044,8313.3570509353,22990.9773314548
10,Pyrus,2865.05341275127,11095.9248331809,633.902489072128,2862.42014650166
11,Foeniculum,3885.61350437942,25495.3337466719,943.538535446576,3879.16903073263
12,Pastinaca,15476.5349601609,11095.9248331809,3262.03501452157,15455.225016246
13,Peucedanum,13894.1414109626,40546.8324954801,5250.42919423509,13889.1653172067
14,Pimpinella,18895.7984954584,40546.8324954801,7634.87432795597,18892.5549782273
15,Trinia,3.69953116916738,40546.8324954801,1.02411776605336,3.69669143382599
16,Alcea,1289.80883274556,40546.8324954801,356.390056046895,1287.455259701
17,Malva,20103.3830451337,40546.8324954801,6173.97771996106,20077.346456144
18,Sanguisorba,28592.0422019342,40546.8324954801,9984.09083960723,28574.1949453208
19,Stachys,48655.3253693771,40546.8324954801,16274.6304315442,48613.3740447857
20,Lotus,45833.9000477026,40546.8324954801,16005.3132305412,45802.2263565847
21,Iberis,356.251970296206,40546.8324954801,116.347710006483,355.87373742342
22,Coronilla,626.990535339373,40546.8324954801,244.059053513312,626.922471404249
23,Hippocrepis,24269.6854712681,40546.8324954801,9304.34702443399,24262.9767459331
24,Potentilla,82633.3046784603,40546.8324954801,27277.8072507224,82558.2872701779
25,Rubus,62454.2383593553,3140.299195404,1963.39181854762,62387.6502404356
26,Fragaria,21385.4135511995,3140.299195404,308.874991580107,21377.194924544
27,Sibbaldia,1138.46872004174,2277.4624048154,3.42737586682848,1137.76848286527
28,Helianthemum,16132.8432627964,0,0,16130.4406046785
29,Molinia,11794.2022609162,1023.70628087818,206.28692500284,11788.1926589602
30,Calamagrostis,10626.5885171689,0,0,10623.7208009121
31,Cynosurus,8782.8905935918,2974.95127142128,402.600461518801,8781.0277516275
32,Bromus,56761.2111088177,56028.3773384734,29469.9925787496,56697.3050529477
33,Carex,110618.238103356,8218.22051123278,7283.78912647966,110510.940756504
34,Brachypodium,33465.8288038392,9912.43149356975,3501.45410160313,33442.9218145588
35,Stipa,702.730387953634,9121.05574605066,45.6149531439071,702.637386253544
36,Elymus,10316.2356325861,2974.95127142128,225.700499514863,10306.8310305542
37,Festuca,62119.0469993431,5003.75475362251,2556.10145364099,62069.1104461951
38,Alopecurus,4780.37367777932,0,0,4774.61392791707
39,Anthoxanthum,29012.3346002005,168.903632843481,41.3336159425486,28993.2180924398
40,Dactylis,28581.1463954632,0,0,28556.7852881024
41,Melica,15928.2236474834,170.914375378978,5.2512499328722,15922.4150501705
42,Phleum,14474.9665967148,1358.16981799775,431.489784532734,14470.5811420935
43,Triticum,877.182743700768,965.22634193783,0.139665109958775,875.611431362197
44,Lolium,16349.5461061303,7326.89014726032,445.441233256995,16330.9856415051
45,Holcus,18418.8340762015,11011.8577267783,1704.48648815594,18399.4718506376
46,Phalaris,8819.71368535928,17474.41618984,220.338292284576,8805.54914958847
47,Luzula,36283.5519469496,4205.04510024811,1959.70684222967,36266.4389120066
48,Poa,70354.5299944687,73264.894676328,39213.5997793795,70276.9330296061
49,Nardus,9809.1199352326,23066.7853789621,5357.12337793736,9806.23816584386
50,Frangula,4403.74997889931,42504.4471873701,1736.61166970994,4398.99865519426
51,Rhamnus,6492.26891640113,278.369023743621,43.4471878157852,6488.11299180162
52,Colutea,3422.2354904761,9222.56440319255,145.055874443247,3418.11196121889
53,Vaccinium,18538.0255753444,48132.9803986663,15094.0541286182,18533.8572000413
54,Biscutella,5151.71913857088,2836.694752243,118.162807168682,5150.57982387841
55,Cardamine,66919.0336943064,36870.3019517653,12629.0157051858,66836.2326251558
56,Hornungia,258.902170625004,25587.5709485243,31.5711693976232,258.796826912949
57,Alliaria,23507.6368143823,9515.95469474739,615.706505302485,23477.7606077595
58,Arabis,26114.3624984172,2836.694752243,845.029644559396,26101.5415528212
59,Hesperis,1056.07765834354,8496.28532063404,95.2380803047483,1055.40877153698
60,Primula,62674.5972419675,11682.582607843,6810.80250962637,62626.5676160894
61,Rumex,56188.6780078059,9216.48461808072,4872.88292106145,56143.5842333802
62,Quercus,37004.5324190287,15010.8212189922,2167.45558619865,36953.3696267032
63,Cytisus,2175.21136887159,9216.48461808072,359.332643846212,2173.60686155026
64,Genista,4818.76003064332,27683.2328513528,1517.30405165331,4817.37764776669
65,Ulmus,22208.4538031776,36163.4678600226,2886.01609364849,22182.7005411369
66,Lythrum,18213.3628549973,28374.9343424069,1025.1882028054,18180.9206937792
67,Cornus,52467.3817805937,57572.9752726161,33252.8175914096,52389.8078331938
68,Gentiana,33158.6683428454,50367.7413074066,4550.49077913331,33147.6009330567
69,Thymus,22776.8082152022,2452.2597303334,716.834580461308,22770.9860152062
70,Medicago,34330.5853174658,1288.49040675095,42.8352749049514,34294.2155060837
71,Onobrychis,9864.32489038315,3035.1361374541,141.205908525116,9856.97386330517
72,Melilotus,10269.5090681282,31035.5836406982,2385.08762168858,10258.342238747
73,Vicia,55333.5398979933,0,0,55278.7835379093
74,Trifolium,90217.2496721272,15356.4009998991,12137.2501523528,90135.2346867717
75,Astragalus,14918.7003938014,4458.0158435069,739.566311427151,14912.0326217822
