,Species,Host,Species_range,Host_range,Overlap_host
1,Parnassius_mnemosyne,Corydalis,750.502318683665,6217.35167706114,27.0908531385321
2,Parnassius_apollo,Hylotelephium,7169.85788098473,0,0
3,Parnassius_apollo,Sedum,7169.85788098473,38335.9292068331,2421.2448289076
4,Parnassius_apollo,Sempervivum,7169.85788098473,15536.142729291,1600.51645981493
5,Parnassius_apollo,Rhodiola,7169.85788098473,981.288459004072,109.784216569461
6,Parnassius_apollo,Petrosedum,7169.85788098473,0,0
7,Parnassius_phoebus,Saxifraga,5719.03643609669,46662.7312929746,4989.1465514002
8,Iphiclides_podalirius,Prunus,3541.35834426689,40651.6609147506,2121.65757242418
9,Iphiclides_podalirius,Malus,3541.35834426689,3792.98121099751,270.640373765877
10,Iphiclides_podalirius,Sorbus,3541.35834426689,25666.3839112474,1300.60779739609
11,Iphiclides_podalirius,Pyrus,3541.35834426689,1776.51979802116,120.214531894326
12,Papilio_machaon,Aegopodium,35359.3837783062,0,0
13,Papilio_machaon,Petroselinum,35359.3837783062,0,0
14,Papilio_machaon,Anethum,35359.3837783062,0,0
15,Papilio_machaon,Apium,35359.3837783062,0,0
16,Papilio_machaon,Daucus,35359.3837783062,0,0
17,Papilio_machaon,Foeniculum,35359.3837783062,182.864724879077,49.2057471686452
18,Papilio_machaon,Laserpitium,35359.3837783062,0,0
19,Papilio_machaon,Pastinaca,35359.3837783062,3905.90195736363,1072.14763271588
20,Papilio_machaon,Peucedanum,35359.3837783062,13954.9619279916,4226.9302956343
21,Papilio_machaon,Pimpinella,35359.3837783062,16879.3073816995,5080.43461833415
22,Papilio_machaon,Silaum,35359.3837783062,0,0
23,Papilio_machaon,Trinia,35359.3837783062,1.38881814910963,0.273912540328958
24,Carcharodus_alceae,Alcea,1540.48537511226,348.639906312549,10.2315935137567
25,Carcharodus_alceae,Malva,1540.48537511226,13189.6352306938,313.650584362949
26,Spialia_sertorius,Sanguisorba,1183.4669993653,33927.5996201361,632.8686939825
27,Erynnis_tages,Teesdalia,4014.07442068374,0,0
28,Erynnis_tages,Lotus,4014.07442068374,49493.0112276549,1790.29655386534
29,Erynnis_tages,Iberis,4014.07442068374,218.467826260152,3.85911820509518
30,Erynnis_tages,Coronilla,4014.07442068374,544.339391498758,34.6385513773673
31,Erynnis_tages,Hippocrepis,4014.07442068374,18505.7329459464,884.170725067826
32,Erynnis_tages,Eryngium,4014.07442068374,0,0
33,Pyrgus_carthami,Potentilla,32.5679510046718,78660.8919992086,27.5103664732708
34,Pyrgus_malvae,Potentilla,1202.70421137375,78660.8919992086,733.991491559714
35,Pyrgus_andromedae,Potentilla,256.094030434285,78660.8919992086,144.996261909338
36,Pyrgus_andromedae,Dryas,256.094030434285,0,0
37,Pyrgus_cacaliae,Potentilla,1888.61133560216,78660.8919992086,784.734529979655
38,Pyrgus_cacaliae,Geum,1888.61133560216,0,0
39,Pyrgus_serratulae,Potentilla,1646.49865212358,78660.8919992086,1051.87139199083
40,Pyrgus_serratulae,Geum,1646.49865212358,0,0
41,Pyrgus_serratulae,Sibbaldia,1646.49865212358,5960.80119295312,140.772733624331
42,Pyrgus_armoricanus,Potentilla,187.964593176188,78660.8919992086,133.463506887274
43,Pyrgus_armoricanus,Fragaria,187.964593176188,21219.8423441332,51.4088714901811
44,Pyrgus_armoricanus,Helianthemum,187.964593176188,15406.1204798263,17.448940572122
45,Pyrgus_cirsii,Potentilla,0.00373000085825786,78660.8919992086,0.00255074378283954
46,Pyrgus_carlinae,Potentilla,213.665897437641,78660.8919992086,121.865286039958
47,Pyrgus_carlinae,Helianthemum,213.665897437641,15406.1204798263,57.0234809509699
48,Pyrgus_alveus,Potentilla,1504.56507040754,78660.8919992086,976.035609032155
49,Pyrgus_alveus,Helianthemum,1504.56507040754,15406.1204798263,453.172632641065
50,Heteropterus_morpheus,Molinia,446.388800742526,7319.35194057026,87.7622520848221
51,Carterocephalus_palaemon,Calamagrostis,1945.99552831176,9675.14099781091,237.321708701966
52,Carterocephalus_palaemon,Cynosurus,1945.99552831176,11396.8476550119,206.642203778156
53,Thymelicus_acteon,Calamagrostis,17.0671372695244,9675.14099781091,3.32534678654671
54,Thymelicus_acteon,Bromus,17.0671372695244,43233.7419288779,13.1792635244552
55,Thymelicus_acteon,Carex,17.0671372695244,105878.429833341,15.6606868618903
56,Thymelicus_acteon,Brachypodium,17.0671372695244,24351.6451784086,9.1285635958039
57,Thymelicus_acteon,Stipa,17.0671372695244,284.785595071154,1.24264903382686
58,Thymelicus_acteon,Elymus,17.0671372695244,10819.8760004031,4.30570938221167
59,Thymelicus_sylvestris,Cynosurus,5714.34929788875,11396.8476550119,1097.12803664953
60,Thymelicus_sylvestris,Bromus,5714.34929788875,43233.7419288779,2638.63859651599
61,Thymelicus_sylvestris,Brachypodium,5714.34929788875,24351.6451784086,1618.50686746339
62,Thymelicus_sylvestris,Festuca,5714.34929788875,62239.0078172905,3437.23863138445
63,Thymelicus_sylvestris,Alopecurus,5714.34929788875,10387.0252230739,561.01887350725
